Number of hit	Text ID	Context before	Query item	Context after
1	9799168	conserved among primates . We discovered that HD6 has a	novel	mechanism of protective action . Unlike HD5 and other defensin
2	9799168	features of HD6 function , these experiments will characterize a	novel	mechanism of protection and mucosal homeostasis afforded by the innate
3	9931964	to be addressed in the study . 1 . Can	novel	computational approaches largely improve prediction accuracy of response to single
4	9931964	In Aim 1 of this study , we will develop	novel	AI - based approaches to address the computational challenges of
5	9931964	Aim 2 of the study , we will develop a	novel	computation framework to study of MOA of drugs . In
6	9882641	of Veterans with schizophrenia and control subjects with two relatively	novel	techniques : 1 ) neuroinflammation will be measured with second
7	9881627	1184 ALL cases and 3551 controls , with replication of	novel	risk loci in an independent GWAS of 959 ALL cases
8	9881632	performance of typically developing and late- talking bilingual toddlers in	novel	word learning at 24 and 30 months . Aim 3
9	9881632	working hypothesis is that measures of familiar word recognition and	novel	word learning will improve prediction of language outcomes over measures
10	9881954	, further enhance risk stratification , and will help identify	novel	age -related targets in AML - BMSC with potential to
11	9950132	Pennsylvania . Candidate ?s long-term career goal is to develop	novel	therapies to promote lung repair and regeneration for treatment of
12	9950132	lung injury induced by hyperoxia , this study will provide	novel	mechanistic insights into its role in regulating alveologenesis and lead
13	9950132	insights into its role in regulating alveologenesis and lead to	novel	therapies targeted at AEC - derived Ccn2 for the prevention
14	9950518	of response to Intention treatment ( INT ) , a	novel	word retrieval treatment . Our preliminary studies provide strong support
15	9950777	: For this study , Dr. Vranas has created a	novel	dataset that combines highly - granular data from over 100
16	9953270	extract EHR data for decision - aid visualizations are a	novel	approach to SDM in the understudied area of AF symptoms
17	9953319	effects of the WHISH intervention on changes in established and	novel	biomarkers known or postulated to be influenced by PA levels
18	9953691	in ophthalmic care . Summary / Abstract The development of	novel	therapies for pediatric cancers , the second leading cause of
19	9953691	chemical and genetic perturbations . The proposed study will develop	novel	deep learning models for predicting drug sensitivity and / or
20	9953691	. Findings will shed light on the optimal drugs and	novel	therapeutic targets for pediatric malignancies , leading to an optimal
21	9951572	of cell and tissue xenografts , b ) use multiple	novel	humanization approaches to determine the extent of human hematopoiesis in
22	9927067	assess myocardial inflammation , structure , and function . This	novel	proposal represents a substantial departure from the typically well -
23	9927067	- month randomized controlled trial . These studies apply a	novel	concept in studying PWH , among whom we postulate a
24	9927153	DA uptake site . This provides a basis for a	novel	approach to address the problem by developing compounds to attenuate
25	9927153	effort are to : ( 1 ) design and synthesize	novel	allosteric ligands with improved physicochemical and pharmacokinetic properties using in
26	9932727	. 1 . To plan , develop , and activate	novel	phase 1 and phase 2 ETCTN trials through participation in
27	9934670	, and will pave the way for the design of	novel	cancer therapy via Pol ? inhibition . PROJECT SUMMARY This
28	9937334	- the- art computational biology methods , but also with	novel	computational tools to address specific analytical challenges germane to the
29	9937337	treatment of cancer metastasis as well as the development of	novel	CIN - related biomarkers to predict therapeutic response . PROJECT
30	9903829	better safety profiles . Specific Aim 1 will utilize a	novel	strategy for attenuating rVSV vaccine vectors by joining adjacent VSV
31	9903831	, cell - based therapies have emerged as a potential	novel	therapeutic approach in ischemic tissue repair . After the initial
32	9882398	treatment . Therefore there remains a significant need to identify	novel	alternative immunotherapeutic strategies in order to improve survival outcomes for
33	9882398	that this work will lead to the clinical evaluation of	novel	combination immunotherapy strategies that include IL - 1 NP delivery
34	9926023	inform CKD risk prediction is necessary , practical , and	novel	. Our findings will contribute new insights into the relationship
35	9926037	VCs will be analyzed as described above to identify potentially	novel	mechanisms of host genetic control . At the conclusion of
36	9951267	iron homeostasis is a driving force in microglial degeneration is	novel	. By using complementary histological , biochemical , and flow
37	9951267	of this project will lead to the discovery of a	novel	target , in microglia iron homeostasis , to restore the
38	9951845	in recommended substance use treatment . These results call for	novel	strategies that increase substance use disorder treatment engagement for this
39	9951845	my long - term career goal of developing and implementing	novel	and accessible interventions while identifying predictors of treatment outcomes for
40	9952648	green space to racial disparities in ADRD . And while	novel	technologies such as Google Street Views ( GSV ) imaging
41	9929367	of the inflammatory response in tissue repair and to develop	novel	therapies that shape the inflammatory response to improve tissue repair
42	9929367	macrophage populations in vivo , and has potential to identify	novel	macrophage populations involved in healing . We will also use
43	9929367	The overall vision guiding our approach is that by identifying	novel	regulators of macrophage function during wound healing , we can
44	9927736	, we aim to take an important step toward identifying	novel	targets of therapy in juvenile idiopathic arthritis ( JIA )
45	9927189	drug resistance remains challenging and is often diagnosed post-mortem .	Novel	diagnostic strategies are needed to expedite identification and treatment of
46	9927189	sensitive next-generation sequencing approach . We propose to utilize a	novel	positive - selection nucleic acid enrichment and high - throughput
47	9937382	Program Project Grant ( PPG ) , we propose a	novel	and unique multidisciplinary research program focused on elucidating pathophysiologic mechanisms
48	9937384	SOP ) neuroimaging measurements ; and ( 3 ) Develop	novel	7 Tesla ( 7T ) acquisition strategies to yield ultra-high
49	9931858	and gene expression profile of over a dozen known and	novel	cell types . This project has provided useful new tools
50	9936961	we outline the resources that we have developed to enable	novel	Xenopus research , including advanced training workshops ( bioinformatics ,
51	9881616	statin drugs and YAP - mediated Treg dysfunction , a	novel	immune - modulatory mechanism through which statins may impede development
52	9881616	ability to characterize the effect of statin drugs on a	novel	immunemodulatory mechanism , which may be relevant in the setting
53	9881622	provide relevant pre-clinical data for future studies towards developing a	novel	, effective therapy for MCL . Project Summary / Abstract
54	9904106	adolescents with developmental disabilities and their family dog . The	novel	inter - vention approach includes the use of the family
55	9904106	the following specific aims : 1 ) To evaluate a	novel	imitation - based dog training program to promote physical activity
56	9937318	to disrupt hsp90 - mediated NO signaling ; and v)	novel	therapeutic strategies for treating CHD with increased PBF . The
57	9937318	strategies for treating CHD with increased PBF . The key	novel	pathways that comprise the focus of each Project were identified
58	9937318	NO signaling and endothelial function , and the development of	novel	, individualized therapies to attenuate pulmonary vascular disease in children
59	9949982	in a soft material - based biorobotic arm . This	novel	research has the potential to bridge the gap between current
60	9949982	frameworks to acquire high - dimensional biological data , and	novel	approaches to fabricate essential elements of soft robots to build
61	9953640	allelic exclusion and VSG switching , and also help identify	novel	drugs that target antigenic variation to prevent disease development .
62	9953139	trial designs , lead to biomarker discovery , and define	novel	biology in PAH . The K23 will provide Dr. Sweatt
63	9953531	treat complications associated with sepsis . Incorporating the training of	novel	, cutting - edge techniques will greatly improve the Jon
64	9953698	are dependent on choline availability . Additionally , she shows	novel	data about the role of ChoK in osteoarthritis . These
65	9952638	as the SCI severity worsens . We have developed a	novel	strategy involving BWSTT with adjuvant T-enanthate ( TE ) drug
66	9927061	study of antibody and T cell responses to HIV and	novel	technologies that will aid future studies of HIV biology ,
67	9927061	reversing latency and eliminating infected cells , and trials of	novel	cure strategies in animal models and in patients on ART
68	9927356	may be a key factor . We will utilize a	novel	technique to measure the microbiome , IgSeq , which combines
69	9928710	preventing strategies . Innovative animal and cell culture models and	novel	concepts strongly supported by a wealth of preliminary data are
70	9928711	- approved , repurposed drugs may represent an intriguing and	novel	strategy to prevent PDAC development and progression . In Specific
71	9928711	- induced VAT inflammation in PDAC growth and will identify	novel	mechanistic pathways and targets . Since statins are widely used
72	9928712	deletion of the ob gene . 2 ) Identify a	novel	molecular mechanism by which statins inhibit YAP / TEAD signaling
73	9928712	statin and metformin on the development of PDAC : a	novel	chemopreventive strategy . The studies proposed in Project 2 of
74	9928712	2 of this P01 will provide mechanisms and rationale for	novel	chemo - preventive strategies in obesity - related PDAC .
75	9934652	contribution of stress granules to dysfunctional nucleocytoplasmic transport will uncover	novel	approaches to therapeutic interventions for repairing the nuclear pore complex
76	9934653	The ultimate goal of this project is the discovery of	novel	biomarkers of disease pathways and progression that will be important
77	9934658	accelerate cognitive decline . 3 ) Go deeper : explore	novel	measures of synaptic integrity and utilize multifaceted digital technology to
78	9934658	longitudinal multi-modality imaging measures of synaptic function and explore a	novel	PET tracer of synaptic integrity . Project 4 : Investigate
79	9934658	the determinants of cognitive decline , optimize rapid detection with	novel	digital measures , and establish the clinical meaningfulness of early
80	9934663	It will also continue to identify , evaluate and implement	novel	technologies and biomarkers for HABS . Data generated will be
